2013-05-21,6:30 PM,Brookside,,MacKenzie,,Lakeview Centre
2013-05-21,6:30 PM,Baker,,Kedron 1,,Lakeview Centre
2013-05-21,6:30 PM,Woodview,,Kedron 3,,Lakeview West
2013-05-21,6:30 PM,North Oshawa,,Kedron 2,,Lakeview West
2013-05-28,6:30 PM,Brookside,,MacKenzie,,Northway Court
2013-05-28,6:30 PM,Baker,,Kedron 1,,Hyde
2013-05-28,6:30 PM,Woodview,,Kedron 3,,Southmead mini
2013-05-28,6:30 PM,North Oshawa,,Kedron 2,,MacKenzie
2013-06-04,6:30 PM,Kedron 1,,Woodview,,Northway Court
2013-06-04,6:30 PM,Brookside,,Baker,,Hyde
2013-06-04,6:30 PM,Kedron 3,,North Oshawa,,Southmead mini
2013-06-04,6:30 PM,MacKenzie,,Kedron 2,,MacKenzie
2013-06-11,6:30 PM,Baker,,MacKenzie,,Southmead mini
2013-06-11,6:30 PM,Woodview,,Brookside,,Northway Court
2013-06-11,6:30 PM,North Oshawa,,Kedron 1,,MacKenzie
2013-06-11,6:30 PM,Kedron 2,,Kedron 3,,Hyde
2013-06-18,6:30 PM,Kedron 1,,Kedron 2,,Southmead mini
2013-06-18,6:30 PM,Brookside,,North Oshawa,,Hyde
2013-06-18,6:30 PM,Baker,,Woodview,,MacKenzie
2013-06-18,6:30 PM,MacKenzie,,Kedron 3,,Northway Court
2013-06-25,6:30 PM,Woodview,,MacKenzie,,Hyde
2013-06-25,6:30 PM,North Oshawa,,Baker,,Northway Court
2013-06-25,6:30 PM,Kedron 2,,Brookside,,MacKenzie
2013-06-25,6:30 PM,Kedron 3,,Kedron 1,,Southmead mini
2013-07-02,6:30 PM,Kedron 1,,MacKenzie,,MacKenzie
2013-07-02,6:30 PM,Brookside,,Kedron 3,,Northway Court
2013-07-02,6:30 PM,Baker,,Kedron 2,,Hyde
2013-07-02,6:30 PM,Woodview,,North Oshawa,,Southmead Mini
2013-07-09,6:30 PM,Brookside,,Kedron 1,,MacKenzie
2013-07-09,6:30 PM,Woodview,,Kedron 2,,Hyde
2013-07-09,6:30 PM,Baker,,Kedron 3,,Southmead mini
2013-07-09,6:30 PM,North Oshawa,,MacKenzie,,Northway Court
2013-07-16,6:30 PM,MacKenzie,,Brookside,,Southmead mini
2013-07-16,6:30 PM,Kedron 1,,Baker,,Northway Court
2013-07-16,6:30 PM,Kedron 3,,Woodview,,MacKenzie
2013-07-16,6:30 PM,Kedron 2,,North Oshawa,,Hyde
2013-07-23,6:30 PM,Woodview,,Kedron 1,,MacKenzie
2013-07-23,6:30 PM,Baker,,Brookside,,Hyde
2013-07-23,6:30 PM,North Oshawa,,Kedron 3,,Southmead mini
2013-07-23,6:30 PM,Kedron 2,,MacKenzie,,Northway Court
2013-07-30,6:30 PM,MacKenzie,,Baker,,MacKenzie
2013-07-30,6:30 PM,Brookside,,Woodview,,Northway Court
2013-07-30,6:30 PM,Kedron 1,,North Oshawa,,Hyde
2013-07-30,6:30 PM,Kedron 3,,Kedron 2,,Southmead mini
2013-08-06,6:30 PM,Kedron 2,,Kedron 1,,Northway Court
2013-08-06,6:30 PM,North Oshawa,,Brookside,,Southmead mini
2013-08-06,6:30 PM,Woodview,,Baker,,Hyde
2013-08-06,6:30 PM,Kedron 3,,MacKenzie,,MacKenzie
2013-08-13,6:30 PM,MacKenzie,,Woodview,,Hyde
2013-08-13,6:30 PM,North Oshawa,,Baker,,MacKenzie
2013-08-13,6:30 PM,Brookside,,Kedron 2,,Northway Court
2013-08-13,6:30 PM,Kedron 1,,Kedron 3,,Southmead mini